THUMB_TIP e PINKY_TIP
60,67
67,59
65,94
63,97
61,67
60,94
62,59
63,14
63,71
65,36
63,80
63,84
62,75
63,10
62,66
62,47
62,85
62,52
62,24
62,26
61,98
61,93
61,74
61,25
61,30
60,65
60,81
60,92
60,46
60,04
59,91
60,91
60,98
60,57
61,33
60,72
61,05
60,87
61,14
60,74
60,46
60,72
59,88
59,47
59,44
59,53
58,58
59,03
58,18
57,44
57,38
56,10
56,95
57,36
56,49
57,87
57,54
57,56
57,76
57,67
57,57
58,01
58,05
58,63
58,12
58,65
58,70
57,28
57,72
57,76
56,37
58,85
58,95
58,61
58,89
57,43
54,74
50,69
46,33
41,77
40,17
38,36
31,61
30,95
31,67
30,53
30,74
30,10
29,71
29,15
29,96
30,50
31,71
30,71
29,69
26,86
26,85
27,42
27,22
26,78
24,33
23,12
21,56
17,20
14,88
13,93
14,47
13,77
12,97
12,33
10,33
11,79
11,78
13,76
18,03
20,12
21,97
23,16
23,79
44,73
46,04
47,32
47,41
48,49
48,15
46,99
41,57
39,40
38,79
38,56
36,34
35,36
35,24
27,99
24,76
22,46
18,91
20,76
20,62
20,39
17,44
18,84
19,85
20,80
21,81
23,34
24,37
27,38
28,56
28,92
30,49
32,69
32,03
31,19
33,00
36,96
39,00
40,92
43,87
46,37
48,20
49,48
59,19
61,43
64,07
65,13
66,19
67,07
69,20
70,86
76,38
75,73
75,39
75,50
75,94
76,36
77,04
76,15
74,54
73,12
72,46
75,01
78,70
81,32
81,16
74,10
74,93
75,90
76,34
76,64
76,61
77,37
78,43
78,86
78,76
79,39
80,21
82,53
80,54
77,78
60,57
54,82
52,78
48,88
48,21
49,74
52,24
49,38
41,72
39,69
48,01
46,33
41,28
44,65
41,28
43,48
33,73
38,26
40,45
41,80
41,08
44,78
44,17
44,97
39,00
35,93
36,91
36,73
36,26
32,01
36,84
51,02
47,11
47,73
52,74
54,35
54,48
54,90
57,36
54,98
49,21
44,75
43,79
35,39
35,68
35,86
33,14
35,53
31,80
37,04
32,76
35,82
31,35
33,06
33,02
31,97
32,21
32,16
31,16
31,61
32,05
31,38
27,81
30,75
31,06
32,30
34,12
35,10
36,27
34,99
36,89
37,24
36,58
39,91
43,03
47,04
45,29
46,18
45,48
45,15
43,71
43,82
43,41
44,22
43,91
45,27
45,59
44,86
43,30
43,29
44,38
44,07
44,09
44,96
44,29
45,32
44,17
43,76
43,47
44,26
44,75
44,43
44,74
44,54
44,26
43,68
44,33
44,64
44,11
42,73
44,78
44,01
43,05
42,11
43,46
44,02
42,62
43,02
42,97
42,60
42,56
41,17
42,35
44,26
43,07
43,87
42,90
42,95
42,20
43,23
40,73
40,23
40,80
39,33
35,45
32,75
28,65
29,03
17,77
22,33
19,14
21,41
20,41
23,06
23,70
23,36
23,41
23,98
24,74
25,03
23,96
24,69
21,76
8,23
24,58
28,04
34,41
39,53
43,51
40,32
45,11
45,89
48,28
41,84
42,72
43,65
40,96
42,91
37,18
36,76
32,06
26,51
27,82
27,40
25,50
23,25
22,05
21,32
19,63
18,24
14,83
17,09
15,50
17,79
20,28
23,26
17,16
24,94
21,31
23,73
24,81
24,40
24,59
18,29
17,37
3,92
6,43
22,89
20,50
22,66
35,10
31,89
