INDEX_FINGER_TIP e THUMB_TIP
37,89
31,41
36,79
40,61
40,34
39,81
40,65
40,19
41,34
40,73
41,15
39,87
39,63
38,89
38,68
38,24
38,46
38,99
37,61
37,70
37,41
37,52
37,18
36,65
36,51
35,64
35,46
29,43
24,95
25,46
22,86
22,87
18,97
19,48
17,36
17,70
17,14
23,58
23,74
28,86
28,13
32,40
32,47
32,08
31,99
32,31
32,49
32,38
32,19
32,19
33,40
32,69
32,30
33,01
33,07
39,92
43,65
42,73
46,39
45,12
46,74
45,88
43,35
30,94
31,41
29,95
29,04
29,52
25,77
25,65
27,37
26,11
28,71
28,37
19,25
24,96
24,89
19,58
19,68
21,86
35,37
26,00
27,65
28,42
29,53
29,39
30,78
30,60
32,06
31,26
31,66
30,32
30,27
31,10
31,13
30,63
30,80
30,03
28,20
27,89
18,66
18,31
31,52
30,95
30,40
28,52
28,25
27,75
28,18
27,87
28,55
28,20
28,21
29,30
29,19
29,38
29,50
29,39
30,37
31,23
31,11
31,16
31,73
32,12
32,88
33,47
33,05
33,31
33,64
31,84
31,84
25,69
26,56
24,84
28,09
27,77
27,15
27,38
25,35
25,01
28,33
25,12
25,55
20,85
21,30
20,43
20,53
29,86
28,14
27,75
29,31
29,17
28,30
27,04
27,66
29,03
29,43
30,92
30,33
29,81
29,53
30,22
30,58
30,83
31,36
31,52
32,75
32,71
33,16
32,61
32,87
33,31
33,48
33,74
33,46
33,62
33,72
33,77
34,22
34,32
34,97
34,21
34,70
35,11
35,21
34,90
34,89
35,42
36,03
36,26
35,96
35,85
35,38
35,65
35,64
35,67
35,86
35,54
35,66
35,07
35,41
35,39
35,11
35,02
34,86
35,03
35,13
35,34
35,32
34,94
34,87
34,88
34,90
34,02
33,28
33,50
32,97
32,67
31,65
32,13
31,32
31,53
31,35
30,76
30,46
30,14
30,19
29,99
29,73
29,48
29,65
29,57
29,61
29,42
29,26
29,51
29,45
29,62
29,46
29,06
28,85
28,88
28,69
28,86
28,89
28,57
29,02
28,84
28,94
29,16
29,25
29,02
28,89
29,11
28,94
28,90
29,09
29,23
28,92
28,91
28,91
28,85
28,86
29,00
29,00
29,04
29,00
29,00
29,13
29,03
29,17
29,38
29,45
29,50
29,61
29,62
29,64
29,71
30,17
30,14
31,59
31,78
30,99
30,79
28,26
32,84
33,67
32,14
32,94
32,28
32,58
31,62
30,70
30,89
31,53
31,20
31,90
31,50
29,88
30,22
31,75
31,37
31,73
32,27
32,11
31,20
31,19
31,32
31,33
30,12
31,99
31,25
33,95
35,90
35,45
35,94
35,57
36,13
36,02
36,93
37,55
37,97
37,61
37,93
34,03
35,41
33,46
34,21
35,18
36,64
36,64
38,36
38,55
42,35
45,45
45,13
48,92
48,09
52,26
53,02
52,82
52,81
52,91
50,57
50,90
39,20
34,56
34,84
31,24
31,98
33,52
33,48
34,17
34,93
35,04
34,63
34,93
34,85
34,61
33,01
35,40
36,19
37,01
37,01
37,08
37,01
35,66
35,89
36,36
36,66
35,97
33,16
33,28
33,28
34,31
34,18
33,10
33,43
32,99
31,97
32,18
32,28
32,45
32,28
32,30
32,08
32,04
31,78
32,56
32,36
32,47
31,76
27,80
21,97
22,82
20,43
20,42
