MIDDLE_FINGER_TIP e THUMB_TIP
52,35
35,06
51,10
58,55
56,45
52,74
56,92
56,77
56,79
58,93
58,79
59,60
59,88
60,83
60,96
61,11
61,37
61,45
61,26
61,36
61,74
61,53
61,46
61,45
61,88
61,88
61,41
62,05
61,41
61,62
61,50
61,54
61,58
61,60
60,17
56,41
57,99
38,28
38,74
38,34
63,28
61,59
60,74
46,54
46,97
45,03
44,66
58,21
46,08
53,32
67,98
54,21
48,58
42,58
39,92
40,98
38,76
33,26
22,65
22,70
18,22
36,86
38,47
44,19
43,50
48,64
44,99
43,01
49,20
50,11
50,43
49,64
46,43
46,83
47,99
46,04
42,88
37,41
35,62
35,38
34,13
32,83
33,64
29,60
