THUMB_TIP e INDEX_FINGER_TIP
24,73
38,60
49,38
51,27
49,18
50,68
51,38
51,43
51,02
50,98
50,32
48,34
50,63
48,24
48,40
48,27
48,46
48,59
48,55
47,73
41,61
40,89
32,08
16,43
1,05
10,18
38,13
36,85
38,24
40,32
41,21
42,19
42,27
42,37
42,91
43,68
44,21
43,60
43,63
43,05
42,23
41,93
40,97
38,90
26,25
24,29
22,04
20,15
17,56
15,01
13,20
10,56
10,25
10,11
10,37
10,68
10,93
12,29
14,12
28,33
32,15
35,66
36,48
35,62
32,52
28,60
25,70
21,46
20,83
19,50
17,91
15,49
13,49
8,12
8,53
8,70
6,15
5,23
4,35
3,81
3,15
8,68
11,59
13,30
12,71
13,40
14,38
15,09
14,17
14,39
13,99
13,58
13,47
13,39
13,37
13,47
12,77
12,84
13,46
14,09
16,04
16,98
16,25
17,01
17,49
17,62
17,92
17,37
17,27
17,07
17,22
18,27
18,62
18,82
19,54
20,96
22,91
39,32
39,72
41,07
40,24
40,10
38,94
37,72
40,32
40,39
40,26
40,26
40,23
40,10
40,16
40,26
39,50
39,77
39,99
40,01
40,08
39,85
39,60
39,60
39,78
39,77
39,65
39,65
39,55
39,77
39,11
39,03
39,01
38,99
39,05
39,47
39,27
39,13
39,04
38,93
39,03
38,91
38,87
38,84
38,70
38,59
38,70
38,72
38,91
38,87
38,83
38,96
38,98
39,01
38,99
38,83
38,74
38,39
38,43
38,31
38,31
38,57
38,62
38,62
38,75
39,15
39,54
41,32
41,31
42,00
42,31
42,50
41,59
40,43
35,10
34,10
32,84
31,76
30,99
32,56
34,87
32,78
31,39
31,32
29,46
30,25
31,36
30,54
29,62
29,80
29,43
29,72
25,56
25,87
23,47
23,23
23,64
23,09
22,93
21,86
21,65
21,27
21,10
21,23
20,69
21,43
20,88
21,55
21,88
21,47
21,75
20,99
20,58
21,18
21,08
20,85
20,83
21,45
21,46
29,18
28,70
28,96
27,30
26,91
